name,cas,vendor,sku,concentration,hazard,notes
Opentrons 24 Tube Rack,,Opentrons,,,,Labware referenced by protocol 4568fa
Opentrons 24 Tube Rack with Eppendorf 1.5 mL Safe-Lock Snapcap,,Opentrons,,,,Labware referenced by protocol 9038af
Opentrons 24 Tube Rack with Generic 2 mL Screwcap,,Opentrons,,,,Labware referenced by protocol macherey-nagel-nucleomag-pathogen
Opentrons 24 Well Aluminum Block with NEST 1.5 mL Screwcap,,Opentrons,,,,Labware referenced by protocol 9038af
Opentrons 24 Well Aluminum Block with NEST 1.5 mL Snapcap,,Opentrons,,,,Labware referenced by protocol 051557
Opentrons 24 tuberack,,Opentrons,,,,Labware referenced by protocol 313086
Opentrons 24 well Aluminum tube rack,,Opentrons,,,,Labware referenced by protocol 5fa647
Opentrons 300uL Tips,,Opentrons,,,,Labware referenced by protocol 19313a
Opentrons 300ul Tips,,Opentrons,,,,Labware referenced by protocol 32207e
Opentrons 300µL Tipracks,,Opentrons,,,,Labware referenced by protocol 1adec6-2
Opentrons 300µL Tips,,Opentrons,,,,Labware referenced by protocol sci-dynabeads-ip-1
Opentrons 300µl Tiprack,,Opentrons,,,,Labware referenced by protocol 3607d5-4
Opentrons 300µl tipracks,,Opentrons,,,,Labware referenced by protocol 313086
Opentrons 4-in-1 Tube Rack,,Opentrons,,,,Labware referenced by protocol e54ada_rt
Opentrons 4-in-1 Tube Rack Set,,Opentrons,,,,Labware referenced by protocol sci-illumina-rna-enrichment-normalization
Opentrons 4-in-1 Tube Rack with 50mL Falcon Tubes,,Opentrons,,,,Labware referenced by protocol 32207e
Opentrons 4-in-1 Tube Racks,,Opentrons,,,,Labware referenced by protocol onsite_atila_saliva384_pt1
Opentrons 4-in-1 Tuberack,,Opentrons,,,,Labware referenced by protocol 4c8861
Opentrons 4-in-1 Tuberack Set,,Opentrons,,,,Labware referenced by protocol 3607d5-4
Opentrons 4-in-1 tube rack with 1.5mL Eppendorf snap cap tubes,,Opentrons,,,,Labware referenced by protocol 528c16
Opentrons 4-in-1 tube rack with 1.5mL tubes,,Opentrons,,,,Labware referenced by protocol 13ea1e
Opentrons 4-in-1 tube rack with 15 tube insert,,Opentrons,,,,Labware referenced by protocol 5c50d9
Opentrons 4-in-1 tube rack with 50mL & 15mL Falcon tubes,,Opentrons,,,,Labware referenced by protocol 528c16
Opentrons 6 Tube Rack with Falcon 50 mL Conical,,Opentrons,,,,Labware referenced by protocol 04552f
Opentrons 6 Tube Rack with NEST 50 mL Conical,,Opentrons,,,,Labware referenced by protocol onsite-bms
Opentrons 96 Aluminum block Nest Wellplate 100ul,,Opentrons,,,,Labware referenced by protocol sci-omegabiotek-magbind
Opentrons 96 Filter Tip Rack 1000 µL,,Opentrons,,,,Labware referenced by protocol 0f409e
Opentrons 96 Filter Tip Rack 20 µL,,Opentrons,,,,Labware referenced by protocol 00f7b1_part6
Opentrons 96 Filter Tip Rack 200 µL,,Opentrons,,,,Labware referenced by protocol 00f7b1_part6
"Opentrons 96 Filter Tip Rack 200 µL, up to 10x depending on throughput",,Opentrons,,,,Labware referenced by protocol bc-rnadvance-viral-feat
Opentrons 96 Tip Rack 1000 µL,,Opentrons,,,,Labware referenced by protocol macherey-nagel-nucleomag-pathogen
Opentrons 96 Tip Rack 20 µL,,Opentrons,,,,Labware referenced by protocol 9038af
Opentrons 96 Tip Rack 300 µL,,Opentrons,,,,Labware referenced by protocol sci-lucif-assay4-for4
Opentrons 96 Well Aluminum Block,,Opentrons,,,,Labware referenced by protocol 17d210
Opentrons 96 Well Aluminum Block with Bio-Rad Well Plate 200 µL,,Opentrons,,,,Labware referenced by protocol 9038af
Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL,,Opentrons,,,,Labware referenced by protocol 00f7b1_part6
Opentrons 96 tiprack 300ul,,Opentrons,,,,Labware referenced by protocol sci-omegabiotek-magbind
Opentrons Aluminum Block Set,,Opentrons,,,,Labware referenced by protocol 6d7fc3-part-3
Opentrons Filter Tip Racks 200ul,,Opentrons,,,,Labware referenced by protocol 698b9e-part2
Opentrons Filter Tip Racks 20ul,,Opentrons,,,,Labware referenced by protocol 698b9e-part2
Opentrons Filter Tips,,Opentrons,,,,Labware referenced by protocol 6d7fc3-part-3
Opentrons Filter Tips for the P20 and P300,,Opentrons,,,,Labware referenced by protocol 0479ad-part-3
Opentrons Filter Tips for the P20 and P300 (https://shop.opentrons.com),,Opentrons,,,,Labware referenced by protocol 11bb6a-part-2
Opentrons HEPA Filter Module,,Opentrons,,,,Labware referenced by protocol sci-lucif-assay4-for4
Opentrons Magnetic Module,,Opentrons,,,,Labware referenced by protocol 0479ad-part-3
Opentrons Magnetic Module (https://shop.opentrons.com/modules/),,Opentrons,,,,Labware referenced by protocol 11bb6a-part-2
